,filename,xmin,ymin,xmax,ymax,points
986,USGS_LPC_FL_Upper_Saint_Johns_2017_LAS_2019/,-9057515,3258388,-8951203,3364700,77000772358
987,USGS_LPC_GA_Georgia_A1_2016_LAS_2018/,-9523395,3584770,-9184079,3924086,93476094866
988,USGS_LPC_GA_Georgia_A2_2016_LAS_2018/,-9167315,3842061,-9074313,3935063,21454775427
989,USGS_LPC_GA_Georgia_A3_2016_LAS_2018/,-9443284,3678208,-9394942,3726550,5271760204
990,USGS_LPC_HI_Oahu_2012_LAS_2015/,-17621311,2414210,-17548967,2486554,3590653630
991,USGS_LPC_ID_Clearwater_d1_2010_LAS_2015/,-12900260,5805517,-12789402,5916375,1067605606
992,USGS_LPC_ID_EmeraldCreek_2004_LAS_2016/,-12964406,5931544,-12940124,5955826,150278393
993,USGS_LPC_ID_FEMAHQ_2018_LAS_2019/,-13020879,5315577,-12760829,5575627,91488261226
994,USGS_LPC_ID_JackWaite_2007_LAS_2016/,-12905944,6040164,-12881314,6064794,343737208
995,USGS_LPC_ID_MoscowMountain_2003_LAS_2015/,-13027328,5891242,-12981906,5936664,113190435
996,USGS_LPC_ID_NezPerce_QL1_2016_LAS_2019/,-13098219,5638239,-12806845,5929613,41818547062
997,USGS_LPC_ID_NezPerce_QL2_2016_LAS_2019/,-13073321,5725434,-12846623,5952132,49445795010
